,average_valence_number,average_electronegativity,average_atomic_number,mean wt CN_1,std_dev L-shaped CN_2,HF,std_dev wt CN_1,Barrier_energy
36,12.75,2.3575,49.5,0.1490690001072614,0.001031834765297,-0.452,0.3257270985718009,0.6333333333326058
37,12.75,2.1325,58.5,0.1905082040683057,0.0019571709527855,-0.21,0.3329511535782999,0.5500000000001819
38,3.0,2.515,6.0,0.5096155851249323,0.1181018941156991,-1.58,0.3581657951309359,0.0100000000002182
39,3.0,2.1925,9.0,0.6168184788169646,0.0280823790097592,-0.646,0.4156740467411129,0.0299999999997453
41,11.5,2.3825,47.25,0.1642067432614918,0.0009889113477911,-0.497,0.3291496334784293,0.6233333333339033
42,11.5,2.1575,56.25,0.2027998749875768,0.0020821043532051,-0.255,0.3432795524543611,0.6400000000003274
43,6.5,2.5,37.25,0.1915489339233845,0.0022526050452476,-0.857,0.3479171312898922,0.0900000000001455
44,11.5,2.485,46.25,0.1996902117063643,0.0010364565154372,-0.727,0.3547870467020942,0.0999999999994543
45,11.5,2.26,55.25,0.2278880221528106,0.0020687347050074,-0.481,0.3725684952665309,0.1099999999996725
48,12.75,2.095,60.75,0.170282874325281,0.001425035845681,-0.157,0.3228538914276337,0.8233333333337214
49,3.0,2.50875,8.25,0.5051759305700534,0.1133914380351581,-1.571,0.3574815691909296,0.0166666666664241
50,3.0,2.18625,11.25,0.617295254017026,0.0288328595225471,-0.673,0.4074945993885188,0.0300000000002
52,3.7777777777777777,2.333333333333333,10.666666666666666,0.3276630582834527,0.0,-1.295,0.4060653975043523,0.0100000000002182
53,6.833333333333333,2.716666666666667,23.5,0.0115679754559262,0.3548102823135424,-1.901,0.0163805804748939,0.9899999999997816
63,11.5,2.9166666666666665,38.16666666666666,0.1806829049662272,0.2553530715135558,-0.392,0.3550879626353141,0.2899999999996605
64,8.75,2.546666666666667,21.416666666666668,0.0043965902283225,0.3385027667245467,-1.63,0.0069874359268376,0.9600000000000364
65,10.75,2.58,40.083333333333336,0.0022098419838311,0.4651542364541421,-0.374,0.0043054648165023,0.9799999999995634
68,13.666666666666666,2.458333333333333,33.333333333333336,0.1751987968081797,0.3632207181939961,-0.518,0.3690399167110651,0.900000000000091
73,5.875,2.73125,11.375,0.3504701176150198,0.0218493416840966,-0.869,0.4031958662572454,0.0066666666662058
75,3.7777777777777777,2.0044444444444443,10.0,0.1491257410459657,0.0089239671246119,-0.627,0.3022992896798537,0.0199999999999818
76,3.7777777777777777,1.9877777777777776,12.666666666666666,0.1446576804503705,0.0233450609852195,-0.56,0.3044411944447899,0.0199999999999818
79,13.1,2.263,32.9,0.0140088497301625,0.0094559750999153,-0.397,0.0097942063766744,0.9500000000007276
80,12.5,2.211,35.9,0.0176066249961274,0.0280975902903825,-0.824,0.0188565333107295,0.75
82,6.5,2.1990000000000003,34.7,0.0223744630869838,0.0378906608075488,-0.908,0.0261239467514513,0.2433333333334909
83,12.5,2.181,45.5,0.0153072999979378,0.0383804168669849,-0.761,0.0151659273782729,0.9000000000005457
85,7.538461538461538,3.107692307692308,14.461538461538462,0.2758513630031184,0.0686015565497719,-1.684,0.3340436454330275,0.1300000000001091
86,8.2,2.938,14.8,0.4378349254684708,0.1679480164248585,-1.18,0.2643402859280622,0.1299999999991996
88,5.2,2.425,14.2,0.4729539988974095,0.1371996408481084,-0.12,0.1901887041895605,0.949999999999818
89,8.2,2.899,20.2,0.3453257326093305,0.1490113786569517,-1.254,0.2811521714252976,0.1300000000010186
91,5.5,2.218,23.3,0.0125686721059052,0.0246497910560217,-1.009,0.0139762177541874,0.1999999999998181
92,11.5,2.2,34.1,0.0083305374271875,0.0197860058155585,-0.86,0.0069197791362693,0.7399999999997817
94,5.5,2.188,32.9,0.0102736391207279,0.0213158635577754,-0.967,0.0092034123291404,0.2399999999997817
95,5.0,2.128571428571429,37.57142857142857,0.0,0.0,-0.877,0.0,0.6700000000000728
96,11.5,2.1699999999999995,43.7,0.0053940594414783,0.0180124774097686,-0.797,0.0063233997299751,0.8700000000008004
100,4.571428571428571,2.0557142857142856,23.428571428571427,0.0,0.0,-1.149,0.0,0.7400000000002365
103,12.727272727272728,2.632727272727273,34.18181818181818,0.0835511408301903,0.2188024272745725,-1.154,0.1364384416409226,0.673333333333782
105,12.727272727272728,2.441818181818182,45.63636363636363,0.1165645796165661,0.1914936939218205,-0.742,0.1903493631037313,0.7400000000006912
107,6.363636363636363,2.732727272727273,31.454545454545453,0.0523002139268161,0.2294164075093265,-1.389,0.0854058917060681,0.7900000000002668
109,12.727272727272728,2.5545454545454547,34.90909090909091,0.0005411782794406,0.2032953268904841,-1.051,0.0008837404296712,0.680000000000291
110,6.363636363636363,2.6818181818181817,23.454545454545453,0.0,0.2025707010540856,-1.375,0.0,0.1900000000005093
111,6.363636363636363,3.203636363636364,18.363636363636363,0.0,0.3180393237904109,-2.721,0.0,0.0700000000006184
112,12.727272727272728,2.363636363636364,46.36363636363637,0.0326451365385745,0.1914180543800235,-0.651,0.0533092847353298,0.3533333333337699
113,12.727272727272728,2.527272727272727,43.63636363636363,0.0005411782794406,0.1941334369507562,-0.967,0.0008837404296712,0.2700000000004365
114,6.363636363636363,2.6545454545454548,32.18181818181818,0.0,0.1935284341654645,-1.298,0.0,0.2899999999999636
115,6.363636363636363,3.1763636363636363,27.09090909090909,0.0,0.3028786294507435,-2.6,0.0,0.0600000000004001
116,12.727272727272728,2.3363636363636364,55.09090909090909,0.0315640758312779,0.1825040051196367,-0.557,0.0515439199927638,0.3066666666669941
119,7.272727272727272,3.200909090909091,20.0,0.0,0.3330549815240073,-2.683,0.0,0.0699999999997089
120,13.636363636363637,2.3609090909090917,48.0,0.0117449907212622,0.1886175994090054,-0.621,0.019179489533877,0.9899999999997816
123,7.272727272727272,3.173636363636364,28.727272727272727,0.0,0.3159784547856293,-2.563,0.0,0.0699999999997089
126,7.272727272727272,2.638181818181818,26.727272727272727,0.0,0.1963759227206388,-1.269,0.0,0.7300000000004729
127,7.272727272727272,3.16,21.63636363636364,0.0,0.3580926158349237,-2.615,0.0,0.0699999999997089
131,7.272727272727272,3.132727272727273,30.363636363636363,0.0,0.3398783534184991,-2.501,0.0,0.0700000000006184
133,7.2,2.7960000000000003,17.6,1.1386492311995475e-05,0.1302471543520938,-2.204,1.7393154306584e-05,0.8033333333329816
134,6.0,2.9716666666666662,17.833333333333332,0.0297286782983625,0.0006848805797141,-1.907,0.0296661304546749,0.0500000000001819
135,6.0,2.398333333333333,23.166666666666668,0.0725721332222545,0.0015147011289326,-0.848,0.0725707199364992,0.4900000000002364
136,4.714285714285714,1.9628571428571429,37.285714285714285,0.0,0.0,-0.891,0.0,0.0533333333332848
137,12.666666666666666,2.3783333333333334,35.166666666666664,0.07426191638661,0.0014402144371201,-0.642,0.0742667812438797,0.8530000000000655
139,6.0,2.4483333333333337,31.166666666666668,0.119727149057659,0.0012405854831313,-0.814,0.1197209236836548,0.5099999999997635
140,12.666666666666666,2.428333333333333,43.16666666666666,0.1260045678245885,0.0013656515457281,-0.557,0.1260114359142721,0.8699999999998909
143,9.428571428571429,2.762857142857143,20.571428571428573,0.1939485149070431,0.0982199342944261,-1.162,0.3349018219020975,0.9299999999998364
144,6.833333333333333,2.2583333333333333,19.5,1.265165812443942e-05,0.0392357798391877,-0.482,1.7892146506089982e-05,0.5300000000006548
151,5.833333333333333,2.249166666666667,23.0,0.0224120282742654,0.0007785269003361,-0.958,0.0224057046776768,0.269999999999527
153,6.0,2.315,20.166666666666668,0.0002109265093338,0.0648549324035579,-0.724,0.0002749225538227,0.339999999999236
154,12.666666666666666,2.295,32.166666666666664,0.0002950214290783,0.0632939535860292,-0.532,0.0003647204880627,0.7600000000002183
