,average_valence_number,average_electronegativity,average_atomic_number,Gap,std_dev wt CN_1,HF,mean wt CN_1,Barrier_energy
277,16.0,2.4133333333333336,40.0,1.237,0.0,-0.245,0.0,0.7933333333332181
280,6.0,2.43,21.63636363636364,0.0,0.0,-1.966,0.0,0.693333333333006
287,12.181818181818182,2.325454545454546,31.272727272727277,1.086,0.4216954244592985,-0.141,0.2746529064183408,0.8799999999998059
289,12.181818181818182,2.2781818181818183,37.81818181818182,0.988,0.4208777471701808,-0.145,0.2841238223888362,0.893333333332824
296,16.0,2.313333333333333,46.0,0.982,0.0,-0.124,0.0,0.6600000000000819
300,8.666666666666666,2.236666666666667,42.0,4.103,1.7892146506089982e-05,-2.149,2.530331624887884e-05,0.4900000000000091
315,12.666666666666666,2.7,48.0,0.584,0.0,-1.191,0.0,0.7033333333333
330,11.333333333333334,2.676666666666667,26.666666666666668,0.951,1.7892146506089982e-05,-0.517,2.530331624887884e-05,0.6133333333334576
331,9.333333333333334,2.553333333333333,24.666666666666668,0.83,0.0,-1.326,0.0,0.5933333333334758
335,14.0,2.313333333333333,38.0,0.896,3.2706891823496774e-05,-0.286,8.420950437317709e-05,0.8066666666666151
340,12.666666666666666,2.3866666666666667,36.66666666666666,0.679,0.0,-0.877,0.0,0.6933333333334607
343,7.0,2.4075,27.33333333333333,0.0,0.0236662589553367,-2.198,0.0105838727594492,0.9199999999997696
346,7.0,2.4225,22.83333333333333,0.0,0.0119146104274558,-2.244,0.0053283757682438,0.8800000000001091
358,5.333333333333333,2.4408333333333334,24.33333333333333,0.0,0.01871094798122,-2.284,0.008367790321894,0.4466666666661088
360,5.333333333333333,2.455833333333333,19.83333333333333,0.0,0.0071733800682686,-2.325,0.0032080330922181,0.5033333333334061
361,5.833333333333333,2.500833333333333,24.83333333333333,0.026,0.0224535865365166,-1.85,0.010041549166865,0.6899999999995998
362,5.833333333333333,2.515833333333333,20.33333333333333,0.0,0.008905019682016,-1.916,0.0039824458699922,0.7099999999997332
367,9.333333333333334,2.4533333333333336,30.666666666666668,0.745,0.0,-1.015,0.0,0.5833333333334091
372,11.555555555555555,2.192222222222222,27.77777777777778,0.0,0.0278716034995192,-0.504,0.0181417571241572,0.8433333333334
384,11.11111111111111,2.118888888888889,27.33333333333333,0.33,0.0307450465554801,-0.605,0.0229719849275147,0.7666666666667273
385,11.11111111111111,2.118888888888889,27.33333333333333,0.0,0.0321058687753353,-0.568,0.0274148170511316,0.7633333333334728
386,9.333333333333334,2.263333333333333,24.666666666666668,0.782,0.0,-0.569,0.0,0.8299999999998514
387,11.11111111111111,1.8688888888888888,37.333333333333336,0.0,0.0237091402566867,-0.22,0.0164819426567416,0.9500000000001212
388,9.333333333333334,2.1133333333333333,30.666666666666668,0.261,0.0,-0.318,0.0,0.8066666666667667
389,12.666666666666666,2.103333333333333,36.66666666666666,0.572,0.0,-0.27,0.0,0.8066666666667667
392,11.77777777777778,2.198888888888889,28.0,0.0,0.0302508889608819,-0.528,0.0202229360783846,0.7233333333335091
393,11.77777777777778,2.198888888888889,28.0,0.0,0.0187028581550427,-0.518,0.0120914120290348,0.7233333333333576
394,11.77777777777778,2.198888888888889,28.0,0.0,0.0350754350486262,-0.513,0.0222219838154814,0.7933333333333698
