,average_valence_number,std_dev wt CN_1,average_electronegativity,average_atomic_number,thickness,mean q2 CN_12,uc_area,Barrier_energy
211,4.714285714285714,0.0,2.5885714285714285,13.571428571428571,7.472,0.0009608352989406,8.761,0.1999999999998181
214,6.0,0.2919075634187724,3.2122222222222216,17.11111111111111,10.567,0.0,27.492,0.2700000000004365
215,3.4285714285714284,0.0,2.157142857142857,11.714285714285714,6.972,0.0012910283832557,7.506,0.2200000000000272
216,6.111111111111111,0.2567491435164477,2.807777777777778,25.666666666666668,9.782,0.0,47.345,0.269999999999527
217,6.111111111111111,0.3009487445902796,3.263333333333333,21.22222222222222,10.483,3.730029735485247e-05,31.799,0.2800000000006548
218,6.111111111111111,0.2598324161465065,2.807777777777778,22.11111111111111,9.745,0.0,46.67,0.2299999999995634
219,6.111111111111111,0.3085083587597274,3.263333333333333,17.666666666666668,10.356,0.0002616805646498,31.326,0.1999999999989086
220,6.111111111111111,0.2484524374429723,2.712222222222222,26.55555555555556,10.037,0.0,47.862,0.7200000000002547
221,6.111111111111111,0.289679601864189,3.1677777777777774,22.11111111111111,11.126,0.0,32.391,0.8000000000010914
222,6.111111111111111,0.2943706400492888,3.1677777777777774,18.55555555555556,10.423,0.0,32.614,0.2299999999995634
223,6.111111111111111,0.28403338498559,3.2666666666666666,17.22222222222222,10.156,0.0,27.942,0.2800000000006548
224,6.111111111111111,0.2491991639135518,2.811111111111112,18.11111111111111,9.805,0.0,42.835,0.2399999999997817
225,6.111111111111111,0.29149833481451,3.2666666666666666,13.666666666666666,10.076,0.0,27.441,0.2000000000007276
227,6.111111111111111,0.2756695056202251,3.171111111111111,18.11111111111111,10.9,0.0,28.46,0.9200000000000728
229,7.2,0.4896305522388511,3.624,22.4,3.444,0.0,27.129,0.2200000000002546
230,6.111111111111111,0.2786672157423147,3.171111111111111,14.555555555555555,10.443,0.0,28.504,0.1600000000010671
231,4.857142857142857,0.0,2.511428571428571,13.714285714285714,6.957,0.0012348939868251,7.712,0.3099999999999454
232,5.285714285714286,0.0,2.55,14.142857142857142,7.032,0.0012527779424427,7.184,0.2000000000002728
233,6.111111111111111,0.3823687441336453,2.727777777777778,21.666666666666668,9.312,0.0,44.543,0.6466666666671396
234,6.111111111111111,0.2941935889952685,2.8233333333333333,20.77777777777778,10.273,0.0,41.568,0.269999999999527
235,4.857142857142857,0.0,2.4214285714285717,21.428571428571427,7.332,0.0012155580028643,9.078,0.2800000000002001
238,7.2,0.489617853143005,3.624,16.0,3.407,0.0,26.731,0.2200000000002546
239,6.111111111111111,0.3792108146375741,2.727777777777778,18.11111111111111,9.46,0.0,42.759,0.6299999999995028
240,6.111111111111111,0.2532280626601915,2.811111111111112,23.666666666666668,9.807,0.0,45.017,0.2600000000002183
241,4.857142857142857,0.0,2.265714285714286,16.0,7.947,0.0004051742203728,8.391,0.3699999999998908
242,6.6,0.4898322149121944,3.51,11.8,3.271,0.0,26.656,0.2399999999997817
243,6.111111111111111,0.2568590959648526,2.811111111111112,20.11111111111111,9.75,0.0,44.238,0.2399999999997817
244,4.857142857142857,0.0,2.1757142857142857,23.714285714285715,8.408,0.0004506676475291,9.797,0.1566666666667515
246,6.111111111111111,0.300673129750368,3.2666666666666666,15.666666666666666,10.211,1.7281321909576204e-05,29.003,0.1333333333319994
248,6.111111111111111,0.2426218970240068,2.7155555555555555,24.55555555555556,10.054,0.0,45.72,0.7900000000008731
249,6.111111111111111,0.2814038055056613,3.171111111111111,20.11111111111111,11.0,0.0,30.002,0.8600000000005821
250,6.111111111111111,0.2428137131108324,2.7155555555555555,21.0,9.759,0.0,44.157,0.2633333333336243
251,6.111111111111111,0.2862656753625666,3.171111111111111,16.555555555555557,10.562,0.0,29.864,0.1633333333326542
260,12.0,0.0015957520448576,2.273333333333333,33.333333333333336,3.126,0.0,12.629,0.6799999999999121
261,11.272727272727272,0.3597191174084863,2.4372727272727275,38.72727272727273,4.499,0.0,59.706,0.4233333333334788
269,7.818181818181818,0.0,2.393636363636364,24.90909090909091,9.849,0.0003277750978282,15.882,0.9233333333334788
285,7.818181818181818,0.0,2.352727272727273,23.272727272727277,9.761,0.0001734876744269,15.448,0.9433333333339154
300,8.666666666666666,1.7892146506089982e-05,2.236666666666667,42.0,3.233,0.0,21.222,0.8666666666667879
326,3.727272727272727,0.3864153097446143,2.3490909090909096,11.181818181818182,12.034,0.0002123717682274,8.905,0.7366666666666788
327,8.666666666666666,9.247368354490147e-05,2.4766666666666666,21.33333333333333,2.876,0.0,12.377,0.9266666666668092
329,3.727272727272727,0.38701522507071,2.2981818181818183,17.727272727272727,12.819,0.000192300183917,10.49,0.9500000000002728
330,11.333333333333334,1.7892146506089982e-05,2.676666666666667,26.666666666666668,2.715,0.0,11.239,0.8999999999998636
335,14.0,3.2706891823496774e-05,2.313333333333333,38.0,2.791,0.0002525461978522,11.429,0.2166666666666969
361,5.833333333333333,0.0224535865365166,2.500833333333333,24.83333333333333,10.908,0.0038005581349922,15.675,0.7966666666667758
362,5.833333333333333,0.008905019682016,2.515833333333333,20.33333333333333,10.356,0.0044065779145971,14.665,0.7399999999997817
365,7.166666666666667,0.0169221504678944,2.419166666666667,26.0,11.053,0.002401588786968,15.883,0.8433333333326422
376,4.444444444444445,0.0299612822444662,2.082222222222222,14.444444444444445,12.067,0.0,11.942,0.8166666666669092
381,5.555555555555555,0.0378778555385966,2.1355555555555554,17.333333333333332,12.052,0.0,11.699,0.8200000000001637
382,5.555555555555555,0.0362824081021272,2.1355555555555554,17.333333333333332,12.458,0.0,11.91,0.8366666666667394
386,9.333333333333334,0.0,2.263333333333333,24.666666666666668,3.049,0.0040791359233938,8.479,0.1100000000000515
388,9.333333333333334,0.0,2.1133333333333333,30.666666666666668,3.176,0.003660761165282,9.269,0.1333333333334394
391,6.222222222222222,0.0241770132978669,2.2155555555555555,18.0,11.401,0.0,10.943,0.9600000000000364
393,11.77777777777778,0.0187028581550427,2.198888888888889,28.0,12.143,7.34005856735915e-05,12.165,0.9266666666667334
394,11.77777777777778,0.0350754350486262,2.198888888888889,28.0,12.531,0.0,12.416,0.7899999999999636
409,8.666666666666666,0.0,2.1533333333333333,36.0,3.193,0.0001162062300172,15.057,0.3156666666667054
410,4.888888888888889,0.3976657434594426,2.768888888888889,10.0,4.562,0.0,17.437,0.0200000000001333
415,6.0,1.7892146506089982e-05,2.7266666666666666,22.0,2.778,0.0028422350609836,7.789,0.2200000000000272
416,9.333333333333334,1.7892146506089982e-05,2.716666666666667,28.0,2.881,0.0026301807892258,8.144,0.25
418,9.333333333333334,0.0,2.43,30.666666666666668,3.232,0.0054504841770361,9.152,0.5399999999999636
419,6.666666666666667,0.0135569199183779,2.126666666666667,18.444444444444443,12.188,0.0,12.136,0.7533333333331029
422,9.333333333333334,0.0,2.28,36.66666666666666,3.373,0.0049486523839522,9.795,0.4600000000000364
424,7.777777777777778,0.0113374001204925,2.18,21.33333333333333,12.166,0.0,11.871,0.8833333333335153
425,7.777777777777778,0.0221640032101781,2.18,21.33333333333333,12.537,0.0,12.234,0.9166666666665152
429,9.0,0.0,2.2433333333333336,30.33333333333333,3.197,0.0026098135229708,10.212,0.2500000000000758
433,8.444444444444445,0.0323840427137393,2.7377777777777776,17.555555555555557,9.598,0.0,8.453,0.6033333333334667
434,8.444444444444445,0.0311272759769644,2.26,22.0,11.922,0.0,11.315,0.8433333333332484
436,9.0,0.0,2.0933333333333333,36.333333333333336,3.359,0.0032973373668403,10.765,0.1666666666665908
438,14.0,0.0271838201619802,2.243333333333333,32.0,12.649,0.0,12.535,0.8533333333331635
439,14.0,0.0013721381401906,2.243333333333333,32.0,12.224,0.0001162973158782,12.338,0.9700000000001032
443,5.333333333333333,0.0,2.52,15.333333333333334,2.39,0.0,8.737,0.4200000000000727
444,6.0,0.0,2.793333333333333,32.666666666666664,2.803,0.0030699098446316,7.819,0.2200000000000272
445,9.333333333333334,1.7892146506089982e-05,2.783333333333333,38.66666666666666,2.909,0.0028460014787607,8.154,0.2400000000000091
446,4.666666666666667,0.3987509440636461,2.7622222222222224,9.77777777777778,4.583,0.0,17.636,0.0100000000000666
447,6.666666666666667,0.0076324192406874,2.12,22.444444444444443,12.673,0.0,13.074,0.623333333333297
450,7.777777777777778,0.0043804441993577,2.173333333333334,25.33333333333333,12.642,0.0,12.937,0.7866666666665575
456,14.0,1.7892146506089982e-05,2.31,54.66666666666666,2.693,0.0,13.103,0.7033333333332242
460,8.666666666666666,0.0,2.223333333333333,24.0,3.122,0.0032431390814806,10.128,0.2233333333333576
461,9.0,0.0,2.2533333333333334,24.33333333333333,3.089,0.0037217608458749,9.229,0.2000000000000454
462,9.0,0.0,2.2533333333333334,24.33333333333333,3.04,0.0025427373927,9.31,0.1366666666667697
464,14.0,0.0356381211096241,2.2366666666666664,36.0,13.039,0.0,13.432,0.7533333333334061
465,9.333333333333334,0.0,2.4966666666666666,41.333333333333336,3.251,0.006376917509248,9.159,0.6800000000000637
468,8.666666666666666,0.0,2.1533333333333333,30.0,3.025,0.0001074758001495,12.097,0.4766666666666879
469,9.0,0.0,2.06,47.0,3.338,0.0024063984749682,10.845,0.2333333333333485
472,8.666666666666666,0.0,2.0733333333333337,30.0,3.25,0.0028155604934955,10.887,0.2400000000000091
473,9.0,0.0,2.103333333333333,30.33333333333333,3.101,0.0013268283741944,10.449,0.1966666666667151
474,9.0,0.0,2.103333333333333,30.33333333333333,3.2,0.0031999122296467,10.003,0.2599999999999909
